Year ,Season,Coral Reef change(Km2),Fisheries change(MT)
1970,0,30892.45,12356.98
1970,1,30893.21,12357.28
1970,2,30891.11,12356.44
1970,3,30890,12356
1970,4,30888.77,12355.5
1970,5,30882.34,12352.93
1970,6,30885.51,12354.2
1970,7,30885.91,12351.36
1970,8,30886.11,12354.44
1970,9,30884.93,12353.97
1970,10,30884.42,12353.76
1970,11,30883.57,12351.42
1971,0,30853.97,12341.58
1971,1,30854.71,12341.88
1971,2,30858.11,12343.24
1971,3,30849.39,12339.75
1971,4,30842.73,12337.09
1971,5,30843.01,12337.2
1971,6,30843,12337.2
1971,7,30842.31,12336.92
1971,8,30840.91,12336.36
1971,9,30841.32,12336.52
1971,10,30841.43,12336.57
1971,11,30840.12,12336.04
1972,0,30820.34,12328.13
1972,1,30827.11,12330.84
1972,2,30828.53,12331.41
1972,3,30829.31,12331.72
1972,4,30827.51,12323
1972,5,30827.91,12331.16
1972,6,30826.11,12330.44
1972,7,30825.21,12330.08
1972,8,30825.05,12330.02
1972,9,30824.96,12329.98
1972,10,30824.71,12329.88
1972,11,30824.31,12329.72
1973,0,30820.93,12328.37
1973,1,30820.43,12328.17
1973,2,30820.11,12328.04
1973,3,30820.03,12328.01
1973,4,30819.97,12327.98
1973,5,30819.73,12327.89
1973,6,30819.31,12327.72
1973,7,30819.21,12327.68
1973,8,30819.11,12327.64
1973,9,30819,12327.6
1973,10,30815.43,12326.17
1973,11,30815.32,12326.12
1974,0,30815.11,12326.04
1974,1,30814.91,12325.96
1974,2,30815,12326
1974,3,30815.09,12326.03
1974,4,30814.43,12325.77
1974,5,30813.89,12325.55
1974,6,30813.71,12325.48
1974,7,30813.43,12325.37
1974,8,30813.11,12325.24
1974,9,30812.99,12325.19
1974,10,30813,12325.2
1974,11,30813.03,12325.21
1975,0,30784.74,12313.89
1975,1,30781.97,12312.78
1975,2,30780,12312
1975,3,30779.64,12311.85
1975,4,30775.51,12310.2
1975,5,30775.32,12310.12
1975,6,30774.79,12309.91
1975,7,30774.33,12309.73
1975,8,30774,12309.6
1975,9,30774.03,12309.61
1975,10,30773.65,12309.46
1975,11,30772.89,12309.15
1976,0,30773.32,12309.32
1976,1,30773.45,12309.38
1976,2,30774.23,12319.69
1976,3,30771.23,12308.49
1976,4,30768.89,12307.55
1976,5,30765.73,12306.29
1976,6,30764.91,12305.96
1976,7,30764.74,12305.89
1976,8,30763.11,12305.24
1976,9,30762.03,12304.81
1976,10,30762.11,12304.844
1976,11,30761.99,12304.79
1977,0,30742.31,12296.92
1977,1,30742.93,12297.17
1977,2,30743,12297.2
1977,3,30743.98,12291.59
1977,4,30742.53,12297.01
1977,5,30741.79,12296.71
1977,6,30741.55,12296.62
1977,7,30741.17,12295.46
1977,8,30738.97,12295.58
1977,9,30735.43,12294.17
1977,10,30734.98,12293.99
1977,11,30734.79,12293.91
1978,0,30734.56,12293.82
1978,1,30733.71,12293.48
1978,2,30733.11,12293.24
1978,3,30732.97,12293.18
1978,4,30732.44,12292.97
1978,5,30732.14,12292.85
1978,6,30730,12292
1978,7,30728.97,12291.58
1978,8,30728.43,12291.37
1978,9,30728.21,12290.284
1978,10,30725.33,12290.13
1978,11,30725.12,12290.04
1979,0,30724.89,12289.95
1979,1,30724.55,12289.8
1979,2,30724.13,12289.65
1979,3,30724.41,12289.76
1979,4,30720,12288
1979,5,30654.78,12261.91
1979,6,30648.11,12259.24
1979,7,30645.67,12258.26
1979,8,30643.31,12257.32
1979,9,30641.79,12256.71
1979,10,30639.79,12255.91
1979,11,30639.54,12255.81
1980,0,20899.32,10449.66
1980,1,20887.71,10443.85
1980,2,20884.45,10442.22
1980,3,20881.11,10440.55
1980,4,20875.55,10437.77
1980,5,20873.41,10436.7
1980,6,20871.79,10435.89
1980,7,20678.11,10339.05
1980,8,20684.97,10342.48
1980,9,20607.89,10303.94
1980,10,20612.22,10306.11
1980,11,20612,10306
1981,0,20443.78,10221.8
1981,1,20421.89,10210.94
1981,2,20412.91,10206.45
